"","X","Parasite","Host"
"1",1,"Alaria marcianae","Urocyon cinereoargenteus"
"2",2,"Alaria marcianae","Lynx rufus"
"3",3,"Alaria marcianae","Vulpes vulpes"
"4",4,"Alaria marcianae","Puma concolor"
"5",5,"Alaria marcianae","Canis latrans"
"6",6,"Alaria marcianae","Procyon lotor"
"7",7,"Alaria marcianae","Canis lupus"
"8",8,"Alaria marcianae","Leopardus pardalis"
"9",9,"Alaria mustelae","Neovison vison"
"10",10,"Alaria mustelae","Mephitis mephitis"
"11",11,"Alaria mustelae","Martes americana"
"12",12,"Alaria mustelae","Canis latrans"
"13",13,"Alaria mustelae","Lynx rufus"
"14",14,"Alaria mustelae","Procyon lotor"
"15",15,"Alaria mustelae","Mustela erminea"
"16",16,"Alaria mustelae","Vulpes vulpes"
"17",17,"Ancylostoma caninum","Urocyon cinereoargenteus"
"18",18,"Ancylostoma caninum","Canis latrans"
"19",19,"Ancylostoma caninum","Lynx canadensis"
"20",20,"Ancylostoma caninum","Vulpes vulpes"
"21",21,"Ancylostoma caninum","Lynx rufus"
"22",22,"Ancylostoma caninum","Canis lupus"
"23",23,"Ancylostoma caninum","Ursus americanus"
"24",24,"Ancylostoma caninum","Mephitis mephitis"
"25",25,"Ancylostoma caninum","Puma concolor"
"26",26,"Ancylostoma tubaeforme","Leopardus pardalis"
"27",27,"Ancylostoma tubaeforme","Urocyon cinereoargenteus"
"28",28,"Ancylostoma tubaeforme","Lynx rufus"
"29",29,"Ancylostoma tubaeforme","Puma concolor"
"30",30,"Ancylostoma tubaeforme","Ursus americanus"
"32",32,"Baylisascaris columnaris","Mephitis mephitis"
"33",33,"Baylisascaris devosi","Martes americana"
"34",34,"Baylisascaris devosi","Gulo gulo"
"35",35,"Baylisascaris transfuga","Ursus americanus"
"36",36,"Baylisascaris transfuga","Ursus arctos"
"37",37,"Capillaria aerophila","Didelphis marsupialis"
"38",38,"Capillaria aerophila","Lynx rufus"
"39",39,"Capillaria aerophila","Canis latrans"
"40",40,"Capillaria aerophila","Procyon lotor"
"41",41,"Capillaria aerophila","Ursus americanus"
"42",42,"Capillaria aerophila","Vulpes vulpes"
"43",43,"Capillaria hepatica","Ondatra zibethicus"
"44",44,"Capillaria hepatica","Peromyscus leucopus"
"45",45,"Capillaria plica","Procyon lotor"
"46",46,"Capillaria plica","Urocyon cinereoargenteus"
"47",47,"Capillaria plica","Lontra canadensis"
"48",48,"Capillaria plica","Canis latrans"
"49",49,"Capillaria plica","Lynx rufus"
"50",50,"Capillaria plica","Blarina brevicauda"
"51",51,"Capillaria plica","Ursus americanus"
"52",52,"Capillaria putorii","Procyon lotor"
"53",53,"Capillaria putorii","Martes americana"
"54",54,"Capillaria putorii","Ursus americanus"
"55",55,"Centrorhynchus conspectus","Procyon lotor"
"56",56,"Centrorhynchus conspectus","Spilogale putorius"
