"","X","Group","HostReportedName","HostCorrectedName","HostOrder","HostFamily","HostEnvironment","ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","ParType","ParPhylum","ParClass","Citation","LocationName","Longitude","Latitude","PopulationType","SamplingBasis","SampleNotes","Prevalence","HostsSampled","HostSex","HostAge","Intensity","IntensityMeasure","NativeRange","NumSamples","SamplingType"
"678",4078,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Ostertagia lyrata","Ostertagia lyrata","yes","Helminth","Nematoda","Secernentea","Rossi et al 1997","Alta Val Susa, Italy",6.83,45.03,"WN",NA,"organs-abomasum",0.01,205,NA,NA,"",NA,"Yes",205,NA
"679",4079,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Ostertagia lyrata","Ostertagia lyrata","yes","Helminth","Nematoda","Secernentea","Zaffaroni et al 2000","alpine areas between the Central Alps (Valtellina, Engadin) and Eastern Alps (Dolomites, Asiago)",7.12,43.94,"WN",NA,"organs",0.01,280,NA,NA,"",NA,"Yes",280,NA
"680",4080,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Ostertagia ostertagi","Ostertagia ostertagi","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.09,11,NA,NA,"",NA,"Yes",11,NA
"681",4081,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Ostertagia ostertagi","Ostertagia ostertagi","yes","Helminth","Nematoda","Secernentea","Rossi et al 1997","Alta Val Susa, Italy",6.83,45.03,"WN",NA,"organs-abomasum",0.08,205,NA,NA,"",NA,"Yes",205,NA
"682",4082,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Ostertagia ostertagi","Ostertagia ostertagi","yes","Helminth","Nematoda","Secernentea","Zaffaroni et al 2000","alpine areas between the Central Alps (Valtellina, Engadin) and Eastern Alps (Dolomites, Asiago)",7.12,43.94,"WN",NA,"organs",0.1,280,NA,NA,"",NA,"Yes",280,NA
"683",4122,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Setaria cervi","Setaria cervi","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.25,16,NA,NA,"",NA,"Yes",16,"DirectOther"
"684",4123,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Setaria tundra","Setaria tundra","yes","Helminth","Nematoda","Secernentea","Favia et al 2003","Turin, Italy",7.44,45.15,"WN","Animals",NA,1,1,"Female","Juvenile","",NA,"Yes",1,"PCR"
"685",4126,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Spiculopteragia asymmetrica","Spiculopteragia asymmetrica","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.5,8,NA,NA,"",NA,"Yes",8,NA
"686",4127,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Spiculopteragia asymmetrica","Spiculopteragia asymmetrica","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.67,9,NA,NA,"",NA,"Yes",9,NA
"687",4128,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Spiculopteragia asymmetrica","Spiculopteragia asymmetrica","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.64,11,NA,NA,"",NA,"Yes",11,NA
"688",4129,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Spiculopteragia asymmetrica","Spiculopteragia asymmetrica","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.8,5,NA,NA,"",NA,"Yes",5,NA
"689",4157,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Taenia hydatigena","Taenia hydatigena","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.063,16,NA,NA,"",NA,"Yes",16,"DirectOther"
"690",4158,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Taenia ovis krabbei","Taenia ovis","yes","Helminth","Platyhelminthes","Cestoda","Sugar 1997","the hunting area around the Game Biology Station in Budakeszi",18.93,47.51,"WN",NA,"organs-skeletal musculature",0.92,28,NA,NA,"",NA,"Yes",28,NA
"691",4188,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Polish Hunting Union Research Station at Czempin",16.76,52.14,"WN",NA,"organs (abomasum)",0.69,13,NA,NA,"",NA,"Yes",13,NA
"692",4189,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Polish Hunting Union Research Station at Czempin",16.76,52.14,"WN",NA,"organs (abomasum)",0.57,7,NA,NA,"",NA,"Yes",7,NA
"693",4190,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Polish Hunting Union Research Station at Czempin",16.76,52.14,"WN",NA,"organs (abomasum)",0.9,10,NA,NA,"",NA,"Yes",10,NA
"694",4191,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Polish Hunting Union Research Station at Czempin",16.76,52.14,"WN",NA,"organs (abomasum)",0.71,7,NA,NA,"",NA,"Yes",7,NA
"695",4192,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.67,9,NA,NA,"",NA,"Yes",9,NA
"696",4193,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.4,5,NA,NA,"",NA,"Yes",5,NA
"697",4194,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.73,11,NA,NA,"",NA,"Yes",11,NA
"698",4195,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Drozdz et al 1987","Zielonka Experimental Centre, Poland",21.16,52.3,"WN",NA,"organs (abomasum)",0.62,8,NA,NA,"",NA,"Yes",8,NA
"699",4196,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Rossi et al 1997","Alta Val Susa, Italy",6.83,45.03,"WN",NA,"organs-abomasum",0.07,205,NA,NA,"",NA,"Yes",205,NA
"700",4197,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Zaffaroni et al 2000","alpine areas between the Central Alps (Valtellina, Engadin) and Eastern Alps (Dolomites, Asiago)",7.12,43.94,"WN",NA,"organs",0.29,280,NA,NA,"",NA,"Yes",280,NA
"701",4214,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichuris ovis","Trichuris ovis","yes","Helminth","Nematoda","Enoplea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.375,16,NA,NA,"",NA,"Yes",16,"DirectOther"
"702",4215,"ungulates","Capreolus capreolus","Capreolus capreolus","Artiodactyla","Cervidae","terrestrial","Trichuris ovis","Trichuris ovis","yes","Helminth","Nematoda","Enoplea","Sugar 1997","Hungary",19.5,47.16,"WN",NA,NA,0.08,147,NA,NA,"",NA,"Yes",147,NA
"703",4256,"ungulates","Naemorhedus crispus","Capricornis crispus","Artiodactyla","Bovidae","terrestrial","Cercopithifilaria shohoi","Cercopithifilaria shohoi","yes","Helminth","Nematoda","Secernentea","Uni et al 1998","Mt. Zao, Yamagata Prefecture, Japan",140.36,38.13,"WN",NA,"organs-subcutaneous tissues from trunk",0.19,31,NA,NA,"",NA,"Yes",31,NA
"704",4279,"ungulates","Naemorhedus crispus","Capricornis crispus","Artiodactyla","Bovidae","terrestrial","Loxodontofilaria caprini","Loxodontofilaria caprini","yes","Helminth","Nematoda","Secernentea","Uni et al. 2006","Japan",138.25,36.2,"WN","Animals",NA,0.33,112,NA,NA,"",NA,"Yes",112,"DirectOther"
"705",4280,"ungulates","Naemorhedus crispus","Capricornis crispus","Artiodactyla","Bovidae","terrestrial","Onchocerca skrjabini","Onchocerca skrjabini","yes","Helminth","Nematoda","Secernentea","Suzuki et al 1997","Gifu prefecture, Japan",136.72,35.39,"WN",NA,"organs-lesions",NA,353,NA,NA,"",NA,"Yes",353,NA
"706",4281,"ungulates","Naemorhedus crispus","Capricornis crispus","Artiodactyla","Bovidae","terrestrial","Onchocerca skrjabini","Onchocerca skrjabini","yes","Helminth","Nematoda","Secernentea","Yagi et al 1994","Gifu prefecture, Honshu Island, Japan",138.08,36.08,"WN",NA,"organs-tendons and subcutaneous tissue of the tarsal and carpal joints",0.71,39,NA,NA,"",NA,"Yes",39,NA
"707",4426,"primates","Cebus capucinus","Cebus capucinus","Primates","Cebidae","terrestrial","Hymenolepis diminuta","Hymenolepis diminuta","yes","Helminth","Platyhelminthes","Cestoda","National Parasite Collection (WWW)","Panama",-80.782127,8.537981,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"708",4507,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.42,-28.23,"WN",NA,"organs- gi tract, heart, lung liver",1,1,NA,NA,"",NA,"Yes",1,NA
"709",4508,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.42,-28.23,"WN",NA,"organs- gi tract, heart, lung liver",0.14,21,NA,NA,"",NA,"Yes",21,NA
"710",4509,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.49,-27.79,"WN",NA,"organs- gi tract, heart, lung liver",1,2,"Female",NA,"",NA,"Yes",1,NA
"711",4510,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.49,-27.79,"WN",NA,"organs- gi tract, heart, lung liver",1,2,NA,NA,"",NA,"Yes",2,NA
"712",4511,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Moniezia benedeni","Moniezia benedeni","yes","Helminth","Platyhelminthes","Cestoda","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.49,-27.79,"WN",NA,"organs- gi tract, heart, lung liver",1,2,"Male",NA,"",NA,"Yes",1,NA
"713",4541,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Strongyloides papillosus","Strongyloides papillosus","yes","Helminth","Nematoda","Secernentea","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.42,-28.23,"WN",NA,"organs- gi tract, heart, lung liver",0.09,21,NA,NA,"",NA,"Yes",21,NA
"714",4550,"ungulates","Cephalophus natalensis","Cephalophus natalensis","Artiodactyla","Bovidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Boomker 1991b","Lake St. Lucia, Natal, South Africa",32.42,-28.23,"WN",NA,"organs- gi tract, heart, lung liver",0.04,21,NA,NA,"",NA,"Yes",21,NA
"715",4697,"primates","Cercocebus galeritus","Cercocebus galeritus","Primates","Cercopithecidae","terrestrial","Ascaridia galli","Ascaridia galli","yes","Helminth","Nematoda","Secernentea","Mbora and Munene 2006","Kenya",37.906193,-0.023559,NA,"Animals",NA,0.009,82,"All","All","200","number of nematode eggs per g of feces",NA,82,"Fecal"
"716",4727,"primates","Cercocebus galeritus","Cercocebus galeritus","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Mbora and Munene 2006","Kenya",37.906193,-0.023559,NA,"Animals",NA,0.018,82,"All","All","","number of nematode eggs per g of feces",NA,82,"Fecal"
"717",4736,"primates","Cercocebus galeritus","Cercocebus galeritus","Primates","Cercopithecidae","terrestrial","Trichuris trichura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Mbora and Munene 2006","Kenya",37.906193,-0.023559,NA,"Animals",NA,0.155,82,"All","All","425","number of nematode eggs per g of feces",NA,82,"Fecal"
"718",4756,"primates","Cercopithecus mitis kolbi","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Oesophagostomum bifurcum","Oesophagostomum bifurcum","yes","Helminth","Nematoda","Secernentea","National Parasite Collection (WWW)","Nairobi",36.81,-1.28,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"719",4764,"primates","Cercopithecus mitis erythrarchus","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Appleton et al. 1994","Cape Vidal, South Africa",32.56,-28.1,NA,"Samples",NA,0.06,NA,"All","All","",NA,NA,121,"Fecal"
"720",4767,"primates","Cercopithecus mitis labiatus","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Trichostrongylus axei","Trichostrongylus axei","yes","Helminth","Nematoda","Secernentea","Appleton et al. 1994","Karloof, KwaZulu-Natal",30.28,-30.4,NA,"Animals",NA,0.25,8,"All","All","",NA,NA,8,"Tissue"
"721",4768,"primates","Cercopithecus mitis erythrarchus","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Trichuris cf. trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Appleton et al. 1994","Cape Vidal, South Africa",32.56,-28.1,NA,"Samples",NA,0.56,NA,"All","All","
",NA,NA,121,"Fecal"
"722",4769,"primates","Cercopithecus albogularis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Trichuris trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Appleton and White 1989","Karkloof",30.28,-30.4,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Fecal"
"723",4770,"primates","Cercopithecus mitis labiatus","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Trichuris cf. trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Appleton et al. 1994","Karloof, KwaZulu-Natal",30.28,-30.4,NA,"Animals",NA,0.62,8,"All","All","
",NA,NA,8,"Tissue"
"724",4844,"primates","Cercopithecus ascanius","Cercopithecus ascanius","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Gillespie et al. 2004","Kibale, Uganda",30.41,0.45,NA,"Samples",NA,0.07,NA,"All","All","",NA,NA,235,"Fecal"
"725",4845,"primates","Cercopithecus ascanius","Cercopithecus ascanius","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Gillespie et al. 2005b","Kibale, Uganda",30.41,0.45,NA,"Samples",NA,0.04,381,"All","All","0",NA,NA,119,"Fecal"
"726",4846,"primates","Cercopithecus ascanius","Cercopithecus ascanius","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Gillespie et al. 2005b","Kibale, Uganda",30.41,0.45,NA,"Samples",NA,0.16,54,"All","All","0",NA,NA,38,"Fecal"
"727",4858,"primates","Cercopithecus campbelli","Cercopithecus campbelli","Primates","Cercopithecidae","terrestrial","Trichuris trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Bakarr et al. 1991","Tiwai",-11.35,7.55,NA,"Samples",NA,0.23,NA,"All","All","",NA,NA,17,"Fecal"
"728",4876,"primates","Cercopithecus diana","Cercopithecus diana","Primates","Cercopithecidae","terrestrial","Trichuris trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Bakarr et al. 1991","Tiwai",-11.35,7.55,NA,"Samples",NA,0.182,NA,"All","All","",NA,NA,11,"Fecal"
"729",4880,"primates","Cercopithecus lhoesti","Allochrocebus lhoesti","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Gillespie et al. 2004","Kibale, Uganda",30.41,0.45,NA,"Animals",NA,0.27,11,"All","All","",NA,NA,11,"Fecal"
"730",4882,"primates","Cercopithecus l'hoesti l'hoesti","Allochrocebus lhoesti","Primates","Cercopithecidae","terrestrial","Trichuris trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","National Parasite Collection (WWW)","Kibale, Uganda",30.41,0.45,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"731",4902,"primates","Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Enterobius vermicularis","Enterobius vermicularis","yes","Helminth","Nematoda","Secernentea","Munene et al. 1998","Kenya",37.906193,-0.023559,NA,"Animals",NA,0.073,55,"All","All","
",NA,NA,55,NA
"732",4911,"primates","Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Schistosoma haematobium","Schistosoma haematobium","yes","Helminth","Platyhelminthes","Trematoda","Nelson 1960","Africa",NA,NA,NA,"Animals",NA,0.06,16,"All","All","",NA,NA,16,"Tissue"
"733",4912,"primates","Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Schistosoma haematobium","Schistosoma haematobium","yes","Helminth","Platyhelminthes","Trematoda","Else et al. 1982","Lake Naivasha",36.35,-0.76,NA,"Animals",NA,0.08,36,"All","All","",NA,NA,36,"Fecal"
"734",4915,"primates","Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Munene et al. 1998","Kenya",37.906193,-0.023559,NA,"Animals",NA,0.618,55,"All","All","
",NA,NA,55,NA
"735",4916,"primates","Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Strongyloides fulleborni","Strongyloides fuelleborni","yes","Helminth","Nematoda","Secernentea","Gillespie et al. 2004","Kibale, Uganda",30.41,0.45,NA,"Animals",NA,0.06,35,"All","All","",NA,NA,35,"Fecal"
"736",4920,"primates","Cercopithecus mitis","Cercopithecus mitis","Primates","Cercopithecidae","terrestrial","Trichuris trichiura","Trichuris trichiura","yes","Helminth","Nematoda","Enoplea","Munene et al. 1998","Kenya",37.906193,-0.023559,NA,"Animals",NA,0.6,55,"All","All","",NA,NA,55,NA
"737",4926,"primates","Cercopithecus mona","Cercopithecus mona","Primates","Cercopithecidae","terrestrial","Oesophagostomum bifurcum","Oesophagostomum bifurcum","yes","Helminth","Nematoda","Secernentea","de Gruijter et al. 2004","Baobeng Fiema, Ghana",-1.76,7.79,NA,NA,NA,NA,9,NA,NA,"",NA,NA,9,"Tissue"
"738",4927,"primates","Cercopithecus mona","Cercopithecus mona","Primates","Cercopithecidae","terrestrial","Oesophagostomum bifurcum","Oesophagostomum bifurcum","yes","Helminth","Nematoda","Secernentea","van Lieshout et al. 2005","Baobeng Fiema, Ghana",-1.76,7.79,NA,"Samples",NA,0.75,NA,"All","All","",NA,NA,51,"Fecal"
"739",4928,"primates","Cercopithecus mona","Cercopithecus mona","Primates","Cercopithecidae","terrestrial","Oesophagostomum bifurcum","Oesophagostomum bifurcum","yes","Helminth","Nematoda","Secernentea","Gasser et al 1999a","Fiema, Ghana",-1.7,7.71,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"740",4929,"primates","mona monkey","Cercopithecus mona","Primates","Cercopithecidae","terrestrial","Oesophagostomum bifurcum","Oesophagostomum bifurcum","yes","Helminth","Nematoda","Secernentea","de Gruijter et al. 2005","Ghana",-2,8,NA,NA,NA,NA,1,NA,NA,"",NA,NA,1,"Tissue"
"741",4966,"carnivores","Cerdocyon thous","Cerdocyon thous","Carnivora","Canidae","terrestrial","Capillaria aerophila","Capillaria aerophila","yes","Helminth","Nematoda","Enoplea","Fiorello et al. 2006","Kaa-Iya del Gran Chaco National Park",-60.8,-18.5,"WN","Animals",NA,0.5,2,NA,NA,"",NA,"Yes",NA,"DirectFecal"
"742",4969,"carnivores","Cerdocyon thous","Cerdocyon thous","Carnivora","Canidae","terrestrial","Dirofilaria immitis","Dirofilaria immitis","yes","Helminth","Nematoda","Secernentea","Fiorello et al. 2006","Kaa-Iya del Gran Chaco National Park",-60.8,-18.5,"WN","Animals",NA,1,2,NA,NA,"",NA,"Yes",2,"Serology"
"743",5098,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Divina et al. 2002","Sweden",18.64,60.13,"WO","Animals",NA,0.333,6,NA,NA,"",NA,"Yes",6,"PCR"
"744",5099,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Lepojev et al 1999","Vojvodina, Yugoslavia",20.42,44.83,"WN",NA,"organs-bronchioles",0.5,32,NA,"Adult","",NA,"Yes",32,NA
"745",5100,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Lepojev et al 1999","Vojvodina, Yugoslavia",20.42,44.83,"WN",NA,"organs-bronchioles",0.5,32,NA,NA,"",NA,"Yes",32,NA
"746",5101,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Dictyocaulus eckerti","Dictyocaulus eckerti","yes","Helminth","Nematoda","Secernentea","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.562,16,NA,NA,"",NA,"Yes",16,"DirectOther"
"747",5130,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Drozdz et al 1993","Slowinski National Park, Northwest Poland",17.31,54.71,"WN",NA,"organs-lungs, liver, and digestive tract",0.04,22,NA,NA,"",NA,"Yes",22,NA
"748",5131,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","McKenzie et al 1985","Queensland, Australia",142.7,-20.92,"WN",NA,"organs",0.04,23,NA,NA,"",NA,"No",23,NA
"749",5132,"ungulates","Cervus elaphus nelsoni","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Pybus 1990","throughout Alberta province in Canada,Saskatchewan in the Cypress Hills area, Camp Wainwright",-116.58,53.93,"WN",NA,"organs-liver and often lungs",0.2,29,NA,NA,"",NA,"Yes",28,NA
"750",5133,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Echinococcus granulosus","Echinococcus granulosus","yes","Helminth","Platyhelminthes","Cestoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.188,16,NA,NA,"",NA,"Yes",16,"DirectOther"
"751",5178,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Aukstikalniene et al. 2007","Aukstaitija National Park, Lithuania",26.02,55.35,"WN","Animals",NA,1,13,NA,NA,"",NA,"Yes",13,"DirectFecal"
"752",5179,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","McKenzie et al 1985","Queensland, Australia",142.7,-20.92,"WN",NA,"organs",0.04,23,NA,NA,"",NA,"No",23,NA
"753",5180,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2000a","southern part of Belarus",27.95,53.71,"WN",NA,"organs-liver",0.31,16,NA,NA,"",NA,"Yes",16,NA
"754",5181,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fasciola hepatica","Fasciola hepatica","yes","Helminth","Platyhelminthes","Trematoda","Shimalov and Shimalov 2003a","Belarus",27.95,53.71,"WO","Samples","Dissection and organ compression",0.313,16,NA,NA,"",NA,"Yes",16,"DirectOther"
"755",5184,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Bildfell et al 2007","Clatsop County, Oregon",-123.77,46.02,"WN","Animals",NA,1,1,"Male","Juvenile","45","ParasiteCount","Yes",1,"DirectOther"
"756",5185,"ungulates","Cervus elaphus canadensis","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Kingscote et al 1987","Waterton Lakes National Park, southwestern Alberta",-113.92,49.08,"WN",NA,"organs-livers",0.5,20,NA,NA,"",NA,"Yes",20,NA
"757",5186,"ungulates","Cervus elaphus","Cervus elaphus","Artiodactyla","Cervidae","terrestrial","Fascioloides magna","Fascioloides magna","yes","Helminth","Platyhelminthes","Trematoda","Majoros and Sztojkov 1994","Szigetkoz, Hungary",19.73,46.49,"WN",NA,"organs-liver",1,1,NA,NA,"",NA,"Yes",1,NA
